user,track_id,n_plays,avg_ms,skip_count,meaningful_pct,skip_rate,weight
riya,4227,2,105902.0,1,0.5,0.5,0.5493061443340549
riya,4228,2,92320.0,1,0.5,0.5,0.5493061443340549
riya,4229,2,99996.0,1,0.5,0.5,0.5493061443340549
riya,4230,3,77635.0,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4231,4,185890.0,1,0.75,0.25,1.2070784343255752
riya,4232,3,171593.33333333334,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4233,1,264130.0,0,1.0,0.0,0.6931471805599453
riya,4234,4,48344.0,3,0.25,0.75,0.40235947810852507
riya,4235,1,2901.0,1,0.0,1.0,0.0
riya,4236,5,75991.4,4,0.2,0.8,0.358351893845611
riya,4237,1,1161.0,1,0.0,1.0,0.0
riya,4238,4,37998.75,3,0.25,0.75,0.40235947810852507
riya,4239,2,227080.0,0,1.0,0.0,1.0986122886681098
riya,4240,1,213293.0,0,1.0,0.0,0.6931471805599453
riya,4241,2,135808.5,1,0.5,0.5,0.5493061443340549
riya,4242,5,16046.8,4,0.2,0.8,0.358351893845611
riya,4243,6,1991.6666666666667,6,0.0,1.0,0.0
riya,4244,2,2136.5,2,0.0,1.0,0.0
riya,4245,6,15911.166666666666,6,0.0,1.0,0.0
riya,4246,1,1091.0,1,0.0,1.0,0.0
riya,4247,3,9641.666666666666,3,0.0,1.0,0.0
riya,4248,2,52090.5,1,0.5,0.5,0.5493061443340549
riya,4249,4,66381.0,2,0.5,0.5,0.8047189562170501
riya,4250,3,185826.0,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4251,5,250616.0,1,0.8,0.2,1.433407575382444
riya,4252,1,326491.0,0,1.0,0.0,0.6931471805599453
riya,4253,1,186921.0,1,0.0,1.0,0.0
riya,4254,2,94404.5,2,0.0,1.0,0.0
riya,4255,1,141595.0,1,0.0,1.0,0.0
riya,4256,1,18994.0,1,0.0,1.0,0.0
riya,4257,1,1997.0,1,0.0,1.0,0.0
riya,4258,2,164902.0,2,0.0,1.0,0.0
riya,4259,5,183702.4,1,0.8,0.2,1.433407575382444
riya,4260,1,26215.0,1,0.0,1.0,0.0
riya,4261,3,68400.0,2,0.3333333333333333,0.6666666666666666,0.46209812037329684
riya,4262,2,1519.0,2,0.0,1.0,0.0
riya,4263,2,18096.0,2,0.0,1.0,0.0
riya,4264,1,1022.0,1,0.0,1.0,0.0
riya,4265,2,97590.0,1,0.5,0.5,0.5493061443340549
riya,4266,3,20885.666666666668,3,0.0,1.0,0.0
riya,4267,3,121242.33333333333,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4268,1,43793.0,1,0.0,1.0,0.0
riya,4269,2,211140.0,0,1.0,0.0,1.0986122886681098
riya,4270,1,115618.0,0,1.0,0.0,0.6931471805599453
riya,4271,2,71499.0,1,0.5,0.5,0.5493061443340549
riya,4272,2,1973.0,2,0.0,1.0,0.0
riya,4273,4,43016.5,3,0.25,0.75,0.40235947810852507
riya,4274,2,111266.5,1,0.5,0.5,0.5493061443340549
riya,4275,6,197658.5,3,0.5,0.5,0.9729550745276566
riya,4276,4,142426.25,4,0.0,1.0,0.0
riya,4277,3,116721.0,1,0.6666666666666666,0.3333333333333333,0.9241962407465937
riya,4278,1,1045.0,1,0.0,1.0,0.0
riya,4279,1,720.0,1,0.0,1.0,0.0
riya,4280,1,1579.0,1,0.0,1.0,0.0
riya,4281,1,929.0,1,0.0,1.0,0.0
riya,4282,5,55289.2,3,0.4,0.6,0.716703787691222
riya,4283,1,5294.0,1,0.0,1.0,0.0
riya,4284,2,4179.5,2,0.0,1.0,0.0
riya,4285,7,76880.14285714286,4,0.42857142857142855,0.5714285714285714,0.891189232148501
riya,4286,3,102430.33333333333,3,0.0,1.0,0.0
riya,4287,7,92512.85714285714,5,0.2857142857142857,0.7142857142857143,0.5941261547656673
riya,4288,3,1059.6666666666667,3,0.0,1.0,0.0
riya,4289,1,155557.0,0,1.0,0.0,0.6931471805599453
riya,4290,1,7682.0,1,0.0,1.0,0.0
riya,4291,1,9938.0,1,0.0,1.0,0.0
