spotify_track_uri,track_name,artist_name,album_name,tags,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness,key,mode,time_signature,track_id,artist_id
spotify:track:4bp8NuYnTOHxfkBzaSyT8O,Bad Vibes Lonely,Dok2,Bad Vibes Lonely,"['asian', 'r&b']",0.55,0.66,0.2,162.09,-4.45,0.09,0.0,0.1,0.52,7.0,1.0,4.0,55,520
spotify:track:4R6iHc9ZYiBxTmp9DCyJkJ,Good Vibes On You (feat. Dok2),ChaMane,20,"['hip-hop', 'rap', 'korean', 'chamane']",,,,,,,,,,,,,56,347
spotify:track:2gBPO3pD9QHLn0nZGKPih0,Way Too Bad (Feat. toigo),ZENE THE ZILLA,Bad Nights,"['hip hop', 'hip-hop & rap']",0.97,0.75,0.87,120.0,-3.89,0.09,0.0,0.11,0.05,9.0,1.0,4.0,57,2082
spotify:track:371T3piMigFSScaVWHncAL,SUMMER FEVER (Feat. aiai),pH-1,WHAT HAVE WE DONE,"['hip hop', 'hip-hop & rap']",0.76,0.8,0.92,104.97,-3.56,0.1,0.0,0.04,0.33,1.0,0.0,4.0,58,2169
spotify:track:6csIUGALjl8KhGMTgPuI2w,IBTFY,Sik-K,HEADLINER,"['hip hop', 'hip-hop & rap']",0.82,0.82,0.82,110.02,-1.87,0.49,0.0,0.05,0.14,5.0,0.0,4.0,59,1728
spotify:track:6xV7Be6XEvkSnighmh2Tzj,Sugar On My Tongue,"Tyler, The Creator",DON'T TAP THE GLASS,"['hip hop', 'hip-hop & rap']",0.7,0.5,0.46,126.07,-7.04,0.03,0.0,0.1,0.19,11.0,1.0,4.0,60,1970
spotify:track:4waPZF96vX1Oz5pzH6dB0h,I'll Take Care of You (feat. Yebba),"Tyler, The Creator",DON'T TAP THE GLASS,"['hip hop', 'hip-hop & rap']",0.71,0.83,0.36,133.79,-4.11,0.57,0.0,0.05,0.11,11.0,0.0,4.0,61,1970
spotify:track:45mVT3DCE7AATXgESSdfee,Don't You Worry Baby (feat. Madison McFerrin),"Tyler, The Creator",DON'T TAP THE GLASS,"['hip hop', 'hip-hop & rap']",0.67,0.79,0.46,118.64,-5.34,0.06,0.0,0.05,0.72,6.0,0.0,4.0,62,1970
spotify:track:5DRS7YEe1bwGJLDGviT3CD,Don't Tap That Glass / Tweakin',"Tyler, The Creator",DON'T TAP THE GLASS,"['hip hop', 'hip-hop & rap']",0.54,0.85,0.51,133.35,-5.61,0.15,0.0,0.45,0.19,2.0,1.0,4.0,63,1970
spotify:track:1lTqq0aC6r2bXLviQ3oaVt,Ring Ring Ring,"Tyler, The Creator",DON'T TAP THE GLASS,"['hip hop', 'hip-hop & rap']",0.76,0.72,0.69,119.02,-5.87,0.25,0.0,0.05,0.6,6.0,1.0,4.0,64,1970
